noun_w_ekor	noun_w_ekor_only	cossim
orang	anak	0.64
orang	bayi	0.43
orang	ikan	0.33
orang	api	0.28
orang	raja	0.44
orang	lalat	0.28
orang	bintang	0.34
orang	hewan	0.43
orang	daging	0.32
orang	burung	0.37
orang	ayam	0.31
orang	makhluk	0.44
orang	petani	0.44
orang	kucing	0.35
orang	binatang	0.41
orang	sapi	0.32
orang	anjing	0.38
orang	kuda	0.3
orang	induk	0.3
orang	ular	0.29
orang	malaikat	0.39
orang	ternak	0.37
orang	pahlawan	0.39
orang	babi	0.3
orang	serangga	0.33
orang	hantu	0.34
orang	pejuang	0.46
orang	bibit	0.29
orang	tikus	0.28
orang	singa	0.23
orang	domba	0.34
orang	benih	0.28
orang	buaya	0.27
orang	cacing	0.23
orang	paus	0.27
orang	nyamuk	0.27
orang	iblis	0.32
orang	lebah	0.29
orang	mamalia	0.27
orang	semut	0.31
orang	pemburu	0.35
orang	monyet	0.32
orang	jago	0.3
orang	serigala	0.28
orang	katak	0.3
orang	unta	0.28
orang	kera	0.29
orang	ulat	0.24
orang	macan	0.21
orang	rubah	0.23
orang	merpati	0.24
orang	lembu	0.29
orang	kelelawar	0.25
orang	keledai	0.27
orang	belalang	0.25
orang	angsa	0.24
orang	gabus	0.23
orang	ngengat	0.23
orang	kalkun	0.23
anak	bayi	0.65
anak	ikan	0.35
anak	api	0.26
anak	raja	0.42
anak	lalat	0.31
anak	bintang	0.29
anak	hewan	0.42
anak	daging	0.33
anak	burung	0.4
anak	ayam	0.39
anak	makhluk	0.38
anak	petani	0.38
anak	kucing	0.45
anak	binatang	0.41
anak	sapi	0.37
anak	anjing	0.42
anak	kuda	0.3
anak	induk	0.45
anak	ular	0.32
anak	malaikat	0.32
anak	ternak	0.39
anak	pahlawan	0.34
anak	babi	0.29
anak	serangga	0.3
anak	hantu	0.29
anak	pejuang	0.37
anak	bibit	0.33
anak	tikus	0.33
anak	singa	0.25
anak	domba	0.33
anak	benih	0.35
anak	buaya	0.31
anak	cacing	0.29
anak	paus	0.24
anak	nyamuk	0.28
anak	iblis	0.31
anak	lebah	0.23
anak	mamalia	0.29
anak	semut	0.25
anak	pemburu	0.27
anak	monyet	0.36
anak	jago	0.25
anak	serigala	0.29
anak	katak	0.31
anak	unta	0.26
anak	kera	0.32
anak	ulat	0.24
anak	macan	0.26
anak	rubah	0.26
anak	merpati	0.29
anak	lembu	0.33
anak	kelelawar	0.26
anak	keledai	0.32
anak	belalang	0.18
anak	angsa	0.27
anak	gabus	0.23
anak	ngengat	0.19
anak	kalkun	0.21
bayi	ikan	0.33
bayi	api	0.26
bayi	raja	0.31
bayi	lalat	0.26
bayi	bintang	0.24
bayi	hewan	0.42
bayi	daging	0.33
bayi	burung	0.31
bayi	ayam	0.34
bayi	makhluk	0.35
bayi	petani	0.24
bayi	kucing	0.48
bayi	binatang	0.38
bayi	sapi	0.37
bayi	anjing	0.41
bayi	kuda	0.25
bayi	induk	0.32
bayi	ular	0.32
bayi	malaikat	0.31
bayi	ternak	0.33
bayi	pahlawan	0.22
bayi	babi	0.3
bayi	serangga	0.28
bayi	hantu	0.25
bayi	pejuang	0.28
bayi	bibit	0.28
bayi	tikus	0.3
bayi	singa	0.25
bayi	domba	0.32
bayi	benih	0.3
bayi	buaya	0.3
bayi	cacing	0.3
bayi	paus	0.32
bayi	nyamuk	0.29
bayi	iblis	0.26
bayi	lebah	0.24
bayi	mamalia	0.34
bayi	semut	0.22
bayi	pemburu	0.21
bayi	monyet	0.31
bayi	jago	0.14
bayi	serigala	0.27
bayi	katak	0.22
bayi	unta	0.27
bayi	kera	0.26
bayi	ulat	0.26
bayi	macan	0.25
bayi	rubah	0.23
bayi	merpati	0.2
bayi	lembu	0.26
bayi	kelelawar	0.26
bayi	keledai	0.27
bayi	belalang	0.13
bayi	angsa	0.25
bayi	gabus	0.21
bayi	ngengat	0.2
bayi	kalkun	0.26
ikan	api	0.34
ikan	raja	0.3
ikan	lalat	0.38
ikan	bintang	0.26
ikan	hewan	0.51
ikan	daging	0.58
ikan	burung	0.5
ikan	ayam	0.53
ikan	makhluk	0.42
ikan	petani	0.35
ikan	kucing	0.39
ikan	binatang	0.45
ikan	sapi	0.47
ikan	anjing	0.37
ikan	kuda	0.36
ikan	induk	0.4
ikan	ular	0.44
ikan	malaikat	0.2
ikan	ternak	0.47
ikan	pahlawan	0.21
ikan	babi	0.44
ikan	serangga	0.44
ikan	hantu	0.33
ikan	pejuang	0.21
ikan	bibit	0.42
ikan	tikus	0.36
ikan	singa	0.34
ikan	domba	0.36
ikan	benih	0.48
ikan	buaya	0.46
ikan	cacing	0.42
ikan	paus	0.54
ikan	nyamuk	0.38
ikan	iblis	0.27
ikan	lebah	0.27
ikan	mamalia	0.38
ikan	semut	0.32
ikan	pemburu	0.38
ikan	monyet	0.31
ikan	jago	0.28
ikan	serigala	0.29
ikan	katak	0.43
ikan	unta	0.32
ikan	kera	0.31
ikan	ulat	0.38
ikan	macan	0.32
ikan	rubah	0.28
ikan	merpati	0.36
ikan	lembu	0.37
ikan	kelelawar	0.31
ikan	keledai	0.29
ikan	belalang	0.38
ikan	angsa	0.39
ikan	gabus	0.55
ikan	ngengat	0.26
ikan	kalkun	0.42
api	raja	0.24
api	lalat	0.19
api	bintang	0.29
api	hewan	0.3
api	daging	0.35
api	burung	0.29
api	ayam	0.34
api	makhluk	0.31
api	petani	0.19
api	kucing	0.29
api	binatang	0.35
api	sapi	0.31
api	anjing	0.32
api	kuda	0.35
api	induk	0.25
api	ular	0.36
api	malaikat	0.26
api	ternak	0.29
api	pahlawan	0.28
api	babi	0.32
api	serangga	0.29
api	hantu	0.32
api	pejuang	0.33
api	bibit	0.23
api	tikus	0.27
api	singa	0.21
api	domba	0.22
api	benih	0.34
api	buaya	0.29
api	cacing	0.29
api	paus	0.21
api	nyamuk	0.25
api	iblis	0.37
api	lebah	0.2
api	mamalia	0.13
api	semut	0.32
api	pemburu	0.24
api	monyet	0.26
api	jago	0.28
api	serigala	0.29
api	katak	0.16
api	unta	0.26
api	kera	0.29
api	ulat	0.31
api	macan	0.25
api	rubah	0.18
api	merpati	0.26
api	lembu	0.31
api	kelelawar	0.2
api	keledai	0.22
api	belalang	0.26
api	angsa	0.24
api	gabus	0.28
api	ngengat	0.28
api	kalkun	0.22
raja	lalat	0.24
raja	bintang	0.27
raja	hewan	0.32
raja	daging	0.28
raja	burung	0.35
raja	ayam	0.28
raja	makhluk	0.35
raja	petani	0.33
raja	kucing	0.32
raja	binatang	0.38
raja	sapi	0.31
raja	anjing	0.3
raja	kuda	0.35
raja	induk	0.29
raja	ular	0.34
raja	malaikat	0.35
raja	ternak	0.28
raja	pahlawan	0.39
raja	babi	0.29
raja	serangga	0.29
raja	hantu	0.3
raja	pejuang	0.32
raja	bibit	0.24
raja	tikus	0.29
raja	singa	0.57
raja	domba	0.29
raja	benih	0.22
raja	buaya	0.31
raja	cacing	0.21
raja	paus	0.35
raja	nyamuk	0.24
raja	iblis	0.39
raja	lebah	0.29
raja	mamalia	0.23
raja	semut	0.33
raja	pemburu	0.35
raja	monyet	0.31
raja	jago	0.22
raja	serigala	0.28
raja	katak	0.32
raja	unta	0.28
raja	kera	0.35
raja	ulat	0.27
raja	macan	0.31
raja	rubah	0.23
raja	merpati	0.28
raja	lembu	0.32
raja	kelelawar	0.23
raja	keledai	0.28
raja	belalang	0.22
raja	angsa	0.25
raja	gabus	0.17
raja	ngengat	0.21
raja	kalkun	0.15
lalat	bintang	0.24
lalat	hewan	0.38
lalat	daging	0.33
lalat	burung	0.36
lalat	ayam	0.32
lalat	makhluk	0.37
lalat	petani	0.24
lalat	kucing	0.3
lalat	binatang	0.37
lalat	sapi	0.31
lalat	anjing	0.32
lalat	kuda	0.26
lalat	induk	0.31
lalat	ular	0.28
lalat	malaikat	0.24
lalat	ternak	0.3
lalat	pahlawan	0.17
lalat	babi	0.28
lalat	serangga	0.52
lalat	hantu	0.25
lalat	pejuang	0.24
lalat	bibit	0.35
lalat	tikus	0.4
lalat	singa	0.23
lalat	domba	0.24
lalat	benih	0.36
lalat	buaya	0.21
lalat	cacing	0.36
lalat	paus	0.25
lalat	nyamuk	0.51
lalat	iblis	0.23
lalat	lebah	0.39
lalat	mamalia	0.28
lalat	semut	0.39
lalat	pemburu	0.28
lalat	monyet	0.27
lalat	jago	0.18
lalat	serigala	0.27
lalat	katak	0.27
lalat	unta	0.29
lalat	kera	0.3
lalat	ulat	0.38
lalat	macan	0.21
lalat	rubah	0.14
lalat	merpati	0.27
lalat	lembu	0.22
lalat	kelelawar	0.38
lalat	keledai	0.27
lalat	belalang	0.4
lalat	angsa	0.29
lalat	gabus	0.25
lalat	ngengat	0.35
lalat	kalkun	0.21
bintang	hewan	0.29
bintang	daging	0.24
bintang	burung	0.29
bintang	ayam	0.24
bintang	makhluk	0.3
bintang	petani	0.19
bintang	kucing	0.22
bintang	binatang	0.3
bintang	sapi	0.2
bintang	anjing	0.32
bintang	kuda	0.29
bintang	induk	0.28
bintang	ular	0.3
bintang	malaikat	0.27
bintang	ternak	0.2
bintang	pahlawan	0.37
bintang	babi	0.21
bintang	serangga	0.25
bintang	hantu	0.28
bintang	pejuang	0.32
bintang	bibit	0.23
bintang	tikus	0.25
bintang	singa	0.23
bintang	domba	0.22
bintang	benih	0.23
bintang	buaya	0.25
bintang	cacing	0.25
bintang	paus	0.28
bintang	nyamuk	0.22
bintang	iblis	0.19
bintang	lebah	0.25
bintang	mamalia	0.2
bintang	semut	0.24
bintang	pemburu	0.26
bintang	monyet	0.27
bintang	jago	0.19
bintang	serigala	0.25
bintang	katak	0.18
bintang	unta	0.27
